HostName	RecordData
avacommserve	172.31.10.101
AVAMA	172.31.10.100
avapxy	172.31.10.102
CAM540001	192.168.44.14
CAM540001	192.168.1.32
CAM540003	192.168.21.1
CAM540005	192.168.21.2
CAM540006	192.168.21.1
CAM540007	192.168.21.1
CAMAD	172.21.10.110
CAME725001	192.168.21.2
camesxi61	172.221.200.86
CAMIDRAC61	172.221.200.87
camiloma	172.221.200.100
CAMMA	172.21.10.100
CAMPXY	172.21.10.101
camvcsa6	172.21.10.49
CAP-HNGYK33	192.168.44.18
CAP540001	192.168.44.16
CAP540003	192.168.44.3
CAP540007	192.168.44.22
CAP540007	192.168.43.46
CAP540008	192.168.44.17
CAP540014	192.168.44.13
CAP540014	192.168.1.15
CAP540017	192.168.20.1
CAP540020	192.168.44.4
CAP540025	192.168.44.17
CAP540025	192.168.1.22
CAP540030	192.168.44.12
CAP540034	192.168.44.4
CAP540035	192.168.44.13
CAP540041	192.168.44.16
CAP540043	192.168.44.1
CAP540043	192.168.1.24
CAP540044	192.168.44.9
CAP540045	192.168.44.14
CAP540045	192.168.0.32
CAP540048	192.168.44.3
CAP540049	192.168.44.2
CAP540049	192.168.1.24
CAP540051	192.168.44.3
CAP540052	192.168.44.16
CAP540053	192.168.44.20
CAP540054	192.168.44.8
CAP540055	192.168.44.1
CAP540056	192.168.44.21
CAP540057	192.168.44.6
CAP540058	192.168.44.1
CAP540059	192.168.44.15
CAP540060	192.168.44.20
CAP540061	192.168.44.6
CAP730010	192.168.44.11
CAP730010	192.168.1.17
capad001	172.19.10.110
CAPAD002	172.19.10.115
CAPADMT	172.19.10.153
CAPCOGNOSDEV	172.19.10.136
CAPCOGNOSPRD	172.19.10.137
CAPCOMMSERVE	172.19.10.101
CAPDATADRH	172.19.10.69
CAPDATAQSE	172.19.10.67
CAPE724070	192.168.44.7
CAPE725001	192.168.44.16
CAPE725004	192.168.44.16
CAPE729014	192.168.44.12
CAPE729016	192.168.44.13
CAPE729018	192.168.44.19
CAPE730006	192.168.44.3
CAPE730007	192.168.44.21
CAPE730007	192.168.137.1
CAPESXI61	172.19.10.211
CAPESXI62	172.19.10.212
CAPESXI63	172.19.10.213
capglpi	172.19.10.39
CAPGLPI01	172.19.10.40
CAPIPO20	172.19.30.16
CAPIPO21	172.19.30.79
CAPIPO22	172.19.30.31
CAPMA	172.19.10.100
CAPO365	172.19.10.62
CAPOBSYS	172.19.10.28
CAPRECIPE	172.19.10.61
CAPSAGE	172.19.10.60
CAPSQL	172.19.10.126
CAPVCSA6	172.19.10.49
capwgdim	172.19.10.55
CAPWINDEV	172.19.10.63
CHA540002	10.19.208.112
CHA540004	192.168.30.1
cha540005	10.19.208.117
CHA540006	10.19.208.120
CHAAD	10.19.202.110
chaesxi61	10.19.192.104
CHAIDRAC61	10.19.192.154
CHAIMP	10.19.202.6
CHAINSTALL	10.19.202.51
CHALOGYS	10.19.202.31
CHAVCSA6	10.19.192.49
CHAWDS	10.19.202.21
COMMVAULT	capcommserve.cofigeo.lan.
COU3050SFF02	172.29.30.68
COU3050SFF03	172.29.30.59
COU3050SFF04	172.29.30.82
COU3060SFF01	172.29.30.75
COU3070SFF01	172.29.30.70
COU3070SFF02	172.29.30.50
COU3080SFF01	172.29.30.65
COU540001	192.168.44.7
COU540002	192.168.0.22
COU540002	192.168.44.12
COU540055	192.168.44.5
COU6200MT01	172.29.30.67
COU8300SFF01	172.29.30.56
COUAD	172.29.10.110
COUDATAUSI	172.29.10.22
COUE729001	172.29.30.62
COUE729002	172.29.30.66
COUE729004	192.168.44.2
COUESXI01	172.29.200.82
COUIMP	172.29.10.16
COUREVIEW	172.29.10.7
COUVCSA6	172.29.10.49
COUWDS01	172.29.10.21
FR-CHA-CS200	10.19.202.230
FR-LAG-CS200	10.19.10.230
FR-POU-CS200	10.19.170.230
KMB6583E	172.29.50.15
LABORATOIRE-HP	172.29.30.55
LAG3070SFF14	10.19.16.202
LAG3080SFF03	10.19.16.171
LAG540002	192.168.27.9
LAG540004	10.19.16.121
LAG540008	192.168.44.2
LAGAD	10.19.10.110
LAGE727001	192.168.27.5
LAGE728001	192.168.27.1
LAGE729001	192.168.27.9
LAGINSTALL	10.19.16.135
LOGISTIQUE-PC	172.29.30.51
NPI06DA13	172.29.50.9
NPI449CFA	172.226.50.10
PAR3050SFF03	172.23.30.83
PAR3050SFF04	172.23.30.49
PAR3050SFF05	10.19.16.175
PAR530001	192.168.1.31
PAR530001	192.168.23.40
PAR540001	192.168.23.20
PAR540003	172.23.30.67
PAR540004	192.168.23.29
PAR540005	172.23.30.62
PAR540006	172.23.30.54
PAR540006	172.23.30.70
PAR540007	192.168.23.1
PAR540008	192.168.23.12
PAR540009	172.23.30.89
PAR540010	192.168.23.37
PAR540011	192.168.23.10
PAR540011	192.168.1.26
PAR540012	192.168.23.13
PAR540013	172.23.30.66
PAR540013	172.23.30.98
PAR540014	192.168.23.5
PAR540015	192.168.23.5
PAR540015	10.224.199.24
PAR540016	192.168.23.31
PAR540017	172.23.30.90
PAR941001	192.168.23.28
PARAD	172.23.10.110
PARDATADMC	172.23.10.3
PARE3060SFF05	10.19.16.190
PARE527003	192.168.23.14
PARE724011	192.168.23.21
PARE724011	192.168.1.81
PARE724012	192.168.1.18
PARE724012	192.168.23.6
PARE724013	192.168.23.4
PARE724013	192.168.1.12
PARE725001	172.23.32.241
PARE725005	10.19.16.104
PARE727004	192.168.23.21
PARE727004	192.168.1.13
PARE727006	192.168.23.2
PARE727006	192.168.0.31
PARE727007	192.168.23.34
PARE728001	192.168.44.23
PARE728003	192.168.23.19
PARE728004	192.168.23.28
PARE729002	192.168.1.51
PARE729002	192.168.23.8
PARE729003	192.168.23.29
PARE729005	172.23.30.109
PARE729007	192.168.23.29
PARE729009	172.23.30.51
PARE729009	172.23.30.100
PARE729010	192.168.23.9
PARE729010	192.168.0.23
PARE729011	172.23.30.68
PARE729012	172.23.30.108
PARE729013	192.168.23.20
PARE729014	192.168.23.35
PARE729016	192.168.23.24
PARE729017	172.23.30.86
PARE729018	192.168.23.3
PARE729019	192.168.23.37
PARE729020	192.168.23.8
PARE729021	192.168.23.6
PARE729021	192.168.1.25
PARE729022	192.168.23.17
PARE729022	192.168.0.26
PARE729023	172.23.30.81
PARE729023	172.23.31.1
PARE729024	192.168.23.33
PARE729025	192.168.23.11
PARE729026	192.168.23.38
